"state","area_of_expenditure","broad_source_of_funding","detailed_source_of_funding","real_expenditure_millions","financial_year"
"VIC","Private hospitals","Non-government","Private health insurance funds",809,1998
"VIC","Public health","Government","Australian Government",108,1998
"VIC","Public health","Government","State and local",120,1998
"VIC","Public hospitals","Government","Australian Government",2342,1998
"VIC","Public hospitals","Government","State and local",2046,1998
"VIC","Public hospitals","Non-government","Individuals",169,1998
"VIC","Public hospitals","Non-government","Other non-government",242,1998
"VIC","Public hospitals","Non-government","Private health insurance funds",65,1998
"VIC","Research","Government","Australian Government",245,1998
"VIC","Research","Government","State and local",27,1998
"VIC","Research","Non-government","Other non-government",74,1998
"QLD","Administration","Government","Australian Government",152,1998
"QLD","Administration","Government","State and local",54,1998
"QLD","Administration","Non-government","Private health insurance funds",125,1998
"QLD","Aids and appliances","Government","Australian Government",33,1998
"QLD","Aids and appliances","Non-government","Individuals",282,1998
"QLD","Aids and appliances","Non-government","Other non-government",2,1998
"QLD","Aids and appliances","Non-government","Private health insurance funds",26,1998
"QLD","All other medications","Government","Australian Government",4,1998
"QLD","All other medications","Non-government","Individuals",508,1998
"QLD","All other medications","Non-government","Other non-government",2,1998
"QLD","All other medications","Non-government","Private health insurance funds",5,1998
"QLD","Benefit-paid pharmaceuticals","Government","Australian Government",576,1998
"QLD","Benefit-paid pharmaceuticals","Non-government","Individuals",115,1998
"QLD","Capital expenditure","Government","Australian Government",23,1998
"QLD","Capital expenditure","Government","State and local",253,1998
"QLD","Capital expenditure","Non-government","Other non-government",519,1998
"QLD","Community health","Government","Australian Government",118,1998
"QLD","Community health","Government","State and local",634,1998
"QLD","Community health","Non-government","Private health insurance funds",0,1998
"QLD","Dental services","Government","Australian Government",52,1998
"QLD","Dental services","Government","State and local",150,1998
"QLD","Dental services","Non-government","Individuals",311,1998
"QLD","Dental services","Non-government","Other non-government",2,1998
"QLD","Dental services","Non-government","Private health insurance funds",120,1998
"QLD","Medical expense tax rebate","Government","Australian Government",38,1998
"QLD","Medical expense tax rebate","Non-government","Individuals",-38,1998
"QLD","Medical services","Government","Australian Government",2209,1998
"QLD","Medical services","Non-government","Individuals",358,1998
"QLD","Medical services","Non-government","Other non-government",43,1998
"QLD","Medical services","Non-government","Private health insurance funds",62,1998
"QLD","Other health practitioners","Government","Australian Government",93,1998
"QLD","Other health practitioners","Non-government","Individuals",286,1998
"QLD","Other health practitioners","Non-government","Other non-government",21,1998
"QLD","Other health practitioners","Non-government","Private health insurance funds",50,1998
"QLD","Patient transport services","Government","Australian Government",19,1998
"QLD","Patient transport services","Government","State and local",196,1998
"QLD","Patient transport services","Non-government","Individuals",81,1998
"QLD","Patient transport services","Non-government","Other non-government",8,1998
"QLD","Patient transport services","Non-government","Private health insurance funds",4,1998
"QLD","Private hospitals","Government","Australian Government",402,1998
"QLD","Private hospitals","Non-government","Individuals",69,1998
"QLD","Private hospitals","Non-government","Other non-government",130,1998
"QLD","Private hospitals","Non-government","Private health insurance funds",610,1998
"QLD","Public health","Government","Australian Government",95,1998
"QLD","Public health","Government","State and local",98,1998
"QLD","Public health","Non-government","Individuals",31,1998
"QLD","Public hospitals","Government","Australian Government",1758,1998
"QLD","Public hospitals","Government","State and local",1755,1998
"QLD","Public hospitals","Non-government","Individuals",16,1998
"QLD","Public hospitals","Non-government","Other non-government",61,1998
"QLD","Public hospitals","Non-government","Private health insurance funds",39,1998
"QLD","Research","Government","Australian Government",115,1998
"QLD","Research","Government","State and local",28,1998
"QLD","Research","Non-government","Other non-government",26,1998
"WA","Administration","Government","Australian Government",89,1998
"WA","Administration","Government","State and local",19,1998
"WA","Administration","Non-government","Other non-government",47,1998
"WA","Administration","Non-government","Private health insurance funds",72,1998
"WA","Aids and appliances","Government","Australian Government",20,1998
"WA","Aids and appliances","Non-government","Individuals",114,1998
"WA","Aids and appliances","Non-government","Other non-government",6,1998
"WA","Aids and appliances","Non-government","Private health insurance funds",23,1998
"WA","All other medications","Government","Australian Government",3,1998
"WA","All other medications","Non-government","Individuals",225,1998
"WA","All other medications","Non-government","Other non-government",6,1998
"WA","All other medications","Non-government","Private health insurance funds",3,1998
"WA","Benefit-paid pharmaceuticals","Government","Australian Government",258,1998
"WA","Benefit-paid pharmaceuticals","Non-government","Individuals",57,1998
"WA","Capital expenditure","Government","Australian Government",13,1998
